Status,MatchType,VendorName,M2MVendorName,BillVendorId,M2MVendorID,CurrentCompanyName,Applied,Error,Note
Matched,Exact,Hydrasearch,HYDRASEARCH,00901VAHVTBQMUX8vd28,Hydra,,true,,
Matched,Exact,Igus Inc.,IGUS,00901CQERWSSSNN8vd8w,IGUS,,true,,
Matched,Exact,Industrial Depot,INDUSTRIAL DEPOT,00901ZWLPYDUCHU8vggv,ID,,false,Bill.com update vendor 00901ZWLPYDUCHU8vggv failed (400 BadRequest): : address.zipOrPostalCode: must not be blank; : address.city: must not be blank,
Matched,Exact,Inspection Xpert,INSPECTION XPERT,00901SBZVFXMVPJ8vd5x,INSPEX,,true,,
Matched,Exact,Insurance Office of America,INSURANCE OFFICE OF AMERICA,00901MJWCNQZQDZ8vdbh,IOA,,true,,
Matched,Exact,Internal Revenue Service,INTERNAL REVENUE SERVICE,00901JWJBGCFVBK8vd2i,IRS,,true,,
Matched,Exact,J. Herbert Corporation,J. HERBERT CORPORATION,00901ZLKAAEHRTS8vd93,JHerb,,true,,
Matched,Exact,James Little,JAMES LITTLE,00901ISCNRRKEPB8vd77,JLITT,,true,,
Matched,Exact,Johnson Supply Company,JOHNSON SUPPLY COMPANY,00901GSEISIMGUJ8vgiy,JSC,,true,,
Matched,Exact,Joyce/Dayton Corp.,JOYCE/DAYTON CORP.,00901HFTNLSRWFV8vdck,JDC,,true,,
Matched,Exact,"Katy Equipment,Inc","KATY EQUIPMENT, INC.",00901GJYBGOBGCZ8vd7e,Katy,,true,,
Matched,Exact,KCE Force Lift Service,KCE FORCE LIFT SERVICE,00901YXFRYLJCXS8vddz,KCE,,true,,
Matched,Exact,Kinematics,KINEMATICS,00901ABAOZGYFXQ8vgdi,KINEMA,,false,Bill.com update vendor 00901ABAOZGYFXQ8vgdi failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,King of Freight,KING OF FREIGHT,00901SHLEXFQOHO8vdcf,KofF,,true,,
Matched,Exact,Knight Global,KNIGHT GLOBAL,00901BZPWJFLSJT8vgdw,Knight,,true,,
Matched,Exact,Larson Electronics*,"LARSON ELECTRONICS, LLC",00901HOCMOEQLKM8vdes,LELLC,,true,,
Matched,Exact,Lavi Industries,LAVI INDUSTRIES,00901DIQKZXBQCJ8vd82,Lavi,,true,,
Matched,Exact,Lowe's,LOWE'S,00901YCHDMZNDEW8vd2n,LOWES,,false,Bill.com update vendor 00901YCHDMZNDEW8vd2n failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Lynn Welding,LYNN WELDING,00901CWDLWRSOQY8vd2o,Lynn,,true,,
Matched,Exact,Mag Welding,MAG WELDING LLC,00901TMNUPACKTB8vd2p,MAGWLD,,true,,
Matched,Exact,Mark Gerard Machine,"MARK GERARD MACHINE, INC",00901VZGWESHLSV8vd2x,MarkG,,true,,
Matched,Exact,Matheson Tri-Gas Inc.,MATHESON TRI-GAS INC.,00901JFJJREZKAZ8vdcv,MTGI,,true,,
Matched,Exact,Mazak Corporation,MAZAK,00901YAXVIECYZO8vdd5,Mazak,,true,,
Matched,Exact,MB Machine,"MB MACHINE, LLC",00901UTVJCMZQCP8vd2z,MBMach,,true,,
Matched,Exact,McMaster-Carr,MCMASTER-CARR,00901RYAKVNXFSN8vde7,MC,,true,,
Matched,Exact,Metnology,METNOLOGY,00901ASNGMVDNEV8vdf3,metno,,true,,
Matched,Exact,MF Supply,MF SUPPLY,00901FIDBLMYZRE8vd00,MF,,true,,
Matched,Exact,Military-Fasteners,MILITARY-FASTENERS,00901XKENKZZSMK8vd05,MILFAS,,true,,
Matched,Exact,Miller/Motion,MILLER/MOTION,00901SVVYYPGXOX8vd2w,MOTION,,true,,
Matched,Exact,MSC/J&L Industrial,MSC/J&L INDUSTRIAL,00901OYWQSGVNSM8vd5b,MSC,,true,,
Matched,Exact,N.T. Ruddock Company,N.T. RUDDOCK,00901OQICOXHZNM8vd2u,NTRUD,,true,,
Matched,Exact,NJC Machine Co.,NJC MACHINE CO.,00901NRTYPBPNDU8vd32,NJC,,true,,
Matched,Exact,Northern Tool,NORTHERN TOOL,00901ZXMIKGXBSC8vd33,NTOOL,,true,,
Matched,Exact,"Northwest Rubber Extruders, Inc.","NORTHWEST RUBBER EXTRUDERS, INC.",00901GIVWXVOXNT8vd61,NWRE,,true,,
Matched,Exact,Office Depot,OFFICE DEPOT,00901RXXOUGFVEX8vd35,ODEPO,,false,Bill.com update vendor 00901RXXOUGFVEX8vd35 failed (400 BadRequest): : address.city: must not be blank; : address.zipOrPostalCode: must not be blank,
Matched,Exact,Orange County Comptroller,ORANGE COUNTY COMPTROLLER,00901ORCTFLXIXI8vd5d,OCC,,true,,
Matched,Exact,Orange County Tax Collector,ORANGE COUNTY TAX COLLECTOR,00901BKJFACQDCQ8vd36,OCTC,,true,,
Matched,Exact,Orange County Utilities,ORANGE COUNTY UTILITIES,00901DTJAWPEUYS8vd8q,OCU,,true,,
Matched,Exact,Palmer Electric,PALMER ELECTRIC COMPANY,00901GNBIWSSWJW8vdf6,Palmer,,true,,
Matched,Exact,Paylocity,PAYLOCITY,00901ZOGVLWBIRJ8vdej,pay,,true,,
Matched,Exact,PE Manufacturing,PE MANUFACTURING,00901AUUBZWJTMK8vd3a,PEMFG,,true,,
Matched,Exact,"PeopleReady Florida, Inc.","PEOPLEREADY FLORIDA,INC.",00901COONDLZUVL8vdc4,PEOPLE,,true,,
Matched,Exact,Performance Powder Coating,PERFORMANCE POWDER COATING,00901QXYUAQVXHS8vd7w,PPC,,true,,
